timestamp, v_enc, v_ave, v_comp, v_acc, ang, ang_v, acc_cor_x, acc_cor_y, acc_x, acc_y, x, y, beta, v_setp, x_setp, y_setp, a_setp, ang_v_traj, ang_v_setp, ang_traj, ang_setp
0.000000,0.000000, 0.000000, -0.001859, -0.001859, 92.646027, 0.489756, -0.064045, -0.115521, -0.064045, -0.115520, 0.045302, 0.033981,0.000000, 0.001500, 0.045000, 0.045001, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
1.000000,0.000000, 0.000057, -0.001850, -0.001850, 92.646606, 0.581585, -0.087987, -0.134674, -0.087987, -0.134674, 0.045302, 0.033979,0.000000, 0.004500, 0.045000, 0.045005, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
2.000000,0.000000, 0.000000, -0.001917, -0.001917, 92.647217, 0.612195, -0.054468, -0.072425, -0.054468, -0.072425, 0.045302, 0.033977,0.000000, 0.007500, 0.045000, 0.045011, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
3.000000,0.000000, 0.000000, -0.001993, -0.001993, 92.647766, 0.550976, -0.090381, -0.125097, -0.090381, -0.125097, 0.045302, 0.033975,0.000000, 0.010500, 0.045000, 0.045021, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
4.000000,0.005676, 0.000057, -0.001877, -0.001877, 92.648407, 0.642805, -0.090381, -0.036512, -0.090381, -0.036512, 0.045302, 0.033973,0.000000, 0.013500, 0.045000, 0.045034, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
5.000000,0.005676, 0.000114, -0.001832, -0.001832, 92.648987, 0.581585, -0.116717, -0.072425, -0.116717, -0.072425, 0.045302, 0.033971,0.000000, 0.016500, 0.045000, 0.045050, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
6.000000,0.028379, 0.000397, -0.001469, -0.001469, 92.649445, 0.459146, -0.080804, 0.018555, -0.080804, 0.018555, 0.045302, 0.033970,0.000000, 0.019500, 0.045000, 0.045068, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
7.000000,0.068109, 0.001078, -0.000625, -0.000625, 92.649933, 0.489756, 0.005387, 0.150236, 0.005387, 0.150236, 0.045302, 0.033969,0.000000, 0.022500, 0.045000, 0.045090, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
8.000000,0.141893, 0.002497, 0.000502, 0.000502, 92.650208, 0.275488, -0.198120, -0.352546, -0.198120, -0.352546, 0.045302, 0.033970,0.000000, 0.025500, 0.045000, 0.045115, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
9.000000,0.147569, 0.003973, 0.001903, 0.001903, 92.651001, 0.795854, -0.157419, -0.103550, -0.157419, -0.103549, 0.045302, 0.033972,0.000000, 0.028500, 0.045000, 0.045143, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
10.000000,0.158920, 0.005619, 0.003202, 0.003202, 92.652008, 1.010122, -0.298677, -0.350154, -0.298677, -0.350152, 0.045302, 0.033975,0.000000, 0.031500, 0.045000, 0.045173, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
11.000000,0.192975, 0.007492, 0.004989, 0.004989, 92.652557, 0.550976, -0.166996, -0.115521, -0.166996, -0.115520, 0.045302, 0.033980,0.000000, 0.034500, 0.045000, 0.045207, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
12.000000,0.238381, 0.009876, 0.007286, 0.007286, 92.652893, 0.336707, 0.982221, -0.096367, 0.982221, -0.096367, 0.045301, 0.033987,0.000000, 0.037500, 0.045000, 0.045244, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
13.000000,0.249732, 0.012373, 0.009180, 0.009180, 92.653381, 0.489756, 0.192135, -0.594361, 0.192135, -0.594361, 0.045301, 0.033996,0.000000, 0.040500, 0.045000, 0.045284, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
14.000000,0.261084, 0.014984, 0.010860, 0.008277, 92.654327, 0.948902, -0.289100, -0.903214, -0.289100, -0.903213, 0.045300, 0.034007,0.000000, 0.043500, 0.045000, 0.045326, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
15.000000,0.306489, 0.018049, 0.014085, 0.008463, 92.655212, 0.887683, 0.299874, 0.186148, 0.299874, 0.186149, 0.045300, 0.034021,0.000000, 0.046500, 0.045000, 0.045372, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
16.000000,0.334868, 0.021397, 0.018150, 0.009212, 92.655853, 0.642805, -0.320224, 0.748786, -0.320224, 0.748787, 0.045299, 0.034039,0.000000, 0.049500, 0.045000, 0.045421, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
17.000000,0.334868, 0.024746, 0.021144, 0.008895, 92.656494, 0.642805, -0.471059, -0.316634, -0.471059, -0.316633, 0.045298, 0.034060,0.000000, 0.052500, 0.045000, 0.045473, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
18.000000,0.363247, 0.028379, 0.024719, 0.008840, 92.656952, 0.459146, 0.244807, -0.055666, 0.244807, -0.055665, 0.045297, 0.034085,0.000000, 0.055500, 0.045000, 0.045527, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
19.000000,0.385950, 0.032238, 0.028454, 0.008717, 92.657532, 0.581585, -0.356137, -0.122703, -0.356137, -0.122703, 0.045295, 0.034114,0.000000, 0.058500, 0.045000, 0.045585, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000,
20.000000,0.408652, 0.036325, 0.032555, 0.008743, 92.658173, 0.642805, 0.237625, 0.025737, 0.237625, 0.025738, 0.045294, 0.034146,0.000000, 0.061500, 0.045000, 0.045646, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
21.000000,0.425680, 0.040581, 0.036716, 0.008654, 92.658600, 0.428537, 0.000599, -0.089184, 0.000599, -0.089184, 0.045292, 0.034183,0.000000, 0.064500, 0.045000, 0.045710, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
22.000000,0.448383, 0.045065, 0.040807, 0.008246, 92.659210, 0.612195, -0.162207, -0.407613, -0.162207, -0.407613, 0.045290, 0.034224,0.000000, 0.067500, 0.045000, 0.045776, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
23.000000,0.471085, 0.049776, 0.045750, 0.008461, 92.659515, 0.306098, -0.059256, 0.214879, -0.059256, 0.214880, 0.045288, 0.034269,0.000000, 0.070500, 0.045000, 0.045846, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
24.000000,0.454058, 0.054317, 0.050066, 0.008233, 92.659729, 0.214268, -0.159813, -0.228048, -0.159813, -0.228048, 0.045286, 0.034319,0.000000, 0.073500, 0.045000, 0.045919, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
25.000000,0.499464, 0.059311, 0.054967, 0.008156, 92.660034, 0.306098, -0.001796, -0.077213, -0.001796, -0.077213, 0.045283, 0.034374,0.000000, 0.076500, 0.045000, 0.045995, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
26.000000,0.510816, 0.064420, 0.060815, 0.008895, 92.660309, 0.275488, 0.532111, 0.739210, 0.532111, 0.739210, 0.045280, 0.034435,0.000000, 0.079500, 0.045000, 0.046073, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
27.000000,0.510816, 0.069584, 0.065920, 0.008822, 92.660950, 0.642805, -0.143054, -0.072425, -0.143054, -0.072425, 0.045277, 0.034501,0.000000, 0.082500, 0.045000, 0.046155, 3.000000, 0.000000, -1.000000, 90.000000, 90.000000
